"ENSDARG00000084280"	"5S_rRNA"
"ENSDARG00000060962"	"btr04"
"ENSDARG00000074813"	"btr05"
"ENSDARG00000084639"	"5S_rRNA"
"ENSDARG00000054184"	"btr06"
"ENSDARG00000094877"	"btr07"
"ENSDARG00000006889"	"mpped2a"
"ENSDARG00000081153"	"CR293523.1"
"ENSDARG00000025868"	"zdhhc13"
"ENSDARG00000069975"	"csrp3"
"ENSDARG00000057323"	"e2f8"
"ENSDARG00000085920"	"5S_rRNA"
"ENSDARG00000073688"	"NAV2
"ENSDARG00000086393"	"dbx1a"
"ENSDARG00000028386"	"htatip2"
"ENSDARG00000019791"	"prmt3"
"ENSDARG00000067964"	"slc6a5"
"ENSDARG00000033542"	"nitr12"
"ENSDARG00000057845"	"nitr9"
"ENSDARG00000036752"	"nitr11b"
"ENSDARG00000042968"	"nitr10a"
"ENSDARG00000036751"	"nitr10b"
"ENSDARG00000036749"	"nitr11a"
"ENSDARG00000057780"	"nitr8"
"ENSDARG00000036745"	"si:busm1-169i8.11"
"ENSDARG00000069925"	"nitr7a"
"ENSDARG00000093916"	"nitr7b"
"ENSDARG00000069927"	"nitr7b"
"ENSDARG00000089774"	"nitr3a"
"ENSDARG00000057760"	"nitr3c"
"ENSDARG00000057744"	"nitr3b"
"ENSDARG00000076951"	"nitr4a"
"ENSDARG00000057900"	"nitr5"
"ENSDARG00000069776"	"nitr1o"
"ENSDARG00000076114"	"CR847950.2"
"ENSDARG00000022761"	"nitr1m"
"ENSDARG00000069824"	"nitr1l"
"ENSDARG00000077939"	"nitr1k"
"ENSDARG00000068024"	"nitr1j"
"ENSDARG00000077908"	"nitr1i"
"ENSDARG00000086423"	"CR847950.4"
"ENSDARG00000076377"	"NITR1"
"ENSDARG00000079673"	"CR847950.3"
"ENSDARG00000084775"	"5S_rRNA"
"ENSDARG00000069859"	"CR847950.1"
"ENSDARG00000069876"	"nitr1c"
"ENSDARG00000057956"	"nitr6a"
"ENSDARG00000075288"	"nitr4a"
"ENSDARG00000077557"	"nitr5"
"ENSDARG00000069773"	"nitr1n"
"ENSDARG00000075913"	"CU672228.2"
"ENSDARG00000087631"	"CU672228.5"
"ENSDARG00000088412"	"CU672228.6"
"ENSDARG00000068014"	"nitr1k"
"ENSDARG00000086168"	"CU672228.4"
"ENSDARG00000033963"	"NITR1I_3"
"ENSDARG00000068018"	"CU672228.1"
"ENSDARG00000079517"	"CU672228.3"
"ENSDARG00000090278"	"CU179759.3"
"ENSDARG00000089157"	"CU179759.2"
"ENSDARG00000068001"	"nitr1c"
"ENSDARG00000069848"	"nitr1b"
"ENSDARG00000078713"	"nitr1a"
"ENSDARG00000000460"	"nitr2b"
"ENSDARG00000043398"	"nitr2a"
"ENSDARG00000057620"	"NITR3"
"ENSDARG00000074330"	"CU179759.1"
"ENSDARG00000077998"	"nitr3a"
"ENSDARG00000067977"	"nitr7b"
"ENSDARG00000036743"	"NITR7B"
"ENSDARG00000051791"	"si:busm1-169i8.11"
"ENSDARG00000036748"	"nitr8"
"ENSDARG00000028333"	"nitr9"
"ENSDARG00000087920"	"CU179757.2"
"ENSDARG00000060364"	"CU179757.1"
"ENSDARG00000015880"	"slc6a5"
"ENSDARG00000088036"	"C7H11orf95"
"ENSDARG00000091348"	"rtn3"
"ENSDARG00000089456"	"men1"
"ENSDARG00000001234"	"map4k2l"
"ENSDARG00000057948"	"nitr6b"
"ENSDARG00000076846"	"nitr6a"
"ENSDARG00000090606"	"nitr6b"
"ENSDARG00000057941"	"nitr6c"
"ENSDARG00000088706"	"map4k2l"
"ENSDARG00000058021"	"men1"
"ENSDARG00000058028"	"rtn3"
"ENSDARG00000062834"	"ecsit"
"ENSDARG00000058038"	"eml3"
"ENSDARG00000083982"	"5S_rRNA"
"ENSDARG00000013031"	"mta2"
"ENSDARG00000057328"	"cth1"
"ENSDARG00000079684"	"taf6l"
"ENSDARG00000057331"	"KCNK7"
"ENSDARG00000057353"	"EHBP1L1
"ENSDARG00000091580"	"CU570987.2"
"ENSDARG00000089870"	"CU570987.1"
"ENSDARG00000058044"	"rab1ba"
"ENSDARG00000079898"	"cd248a"
"ENSDARG00000087452"	"PELI3"
"ENSDARG00000077909"	"rce1a"
"ENSDARG00000067925"	"BX324198.1"
"ENSDARG00000086318"	"BX324198.2"
"ENSDARG00000009610"	"rgs12a"
"ENSDARG00000078801"	"BX324131.3"
"ENSDARG00000076302"	"DTX4
"ENSDARG00000008660"	"coro1b"
"ENSDARG00000077419"	"PVRL4
"ENSDARG00000036678"	"TRMT10A"
"ENSDARG00000006754"	"mllt3"
"ENSDARG00000022020"	"FOCAD"
"ENSDARG00000057142"	"zgc:194252"
"ENSDARG00000007526"	"ndufs2"
"ENSDARG00000001634"	"kirrela"
"ENSDARG00000080020"	"il13ra1"
"ENSDARG00000062485"	"dock11"
"ENSDARG00000007366"	"AMDHD1"
"ENSDARG00000036575"	"CU424462.2"
"ENSDARG00000088656"	"CR352328.3"
"ENSDARG00000055504"	"CD68"
"ENSDARG00000086421"	"im:7136729"
"ENSDARG00000079463"	"MAN2B2"
"ENSDARG00000013329"	"ttc5"
"ENSDARG00000055226"	"slc7a7"
"ENSDARG00000069313"	"oxa1l"
"ENSDARG00000014657"	"zgc:171731"
"ENSDARG00000069317"	"CR352328.1"
"ENSDARG00000089432"	"CR352328.2"
"ENSDARG00000062085"	"dak"
"ENSDARG00000089821"	"BX957278.1"
"ENSDARG00000010940"	"BX957278.1"
"ENSDARG00000076472"	"ovol1"
"ENSDARG00000069326"	"mus81"
"ENSDARG00000077986"	"TMEM151A
"ENSDARG00000056233"	"TMEM179B
"ENSDARG00000088810"	"prox1b"
"ENSDARG00000020397"	"snx15"
"ENSDARG00000085223"	"5S_rRNA"
"ENSDARG00000069331"	"BX322601.2"
"ENSDARG00000069335"	"BCL6B"
"ENSDARG00000055342"	"SLC16A13"
"ENSDARG00000056346"	"acap1"
"ENSDARG00000069334"	"AGFG2"
"ENSDARG00000036414"	"CU019646.1"
"ENSDARG00000091234"	"CU019646.2"
"ENSDARG00000056184"	"dvl2"
"ENSDARG00000016687"	"acadvl"
"ENSDARG00000077414"	"zgc:194312"
"ENSDARG00000090444"	"ponzr1"
"ENSDARG00000036420"	"CR376787.1"
"ENSDARG00000036422"	"NTN5"
"ENSDARG00000055797"	"cnpy4"
"ENSDARG00000061850"	"CR847986.1"
"ENSDARG00000036427"	"slc3a2a"
"ENSDARG00000055791"	"SLC3A2
"ENSDARG00000079034"	"ZP2
"ENSDARG00000075140"	"CR318653.1"
"ENSDARG00000036430"	"sat2a"
"ENSDARG00000069376"	"tnfsf12"
"ENSDARG00000021405"	"chd3"
"ENSDARG00000056007"	"cyb5d1"
"ENSDARG00000017874"	"prkri"
"ENSDARG00000036463"	"cldn15a"
"ENSDARG00000095579"	"FIS1"
"ENSDARG00000075647"	"GIGYF1
"ENSDARG00000094507"	"GIGYF1
"ENSDARG00000086150"	"wrap53"
"ENSDARG00000042277"	"efnb3b"
"ENSDARG00000087352"	"AL935046.1"
"ENSDARG00000088087"	"KDM6B"
"ENSDARG00000069388"	"tmem88b"
"ENSDARG00000081535"	"U1"
"ENSDARG00000087231"	"U1"
"ENSDARG00000090323"	"U1"
"ENSDARG00000083265"	"U1"
"ENSDARG00000080300"	"U2"
"ENSDARG00000055185"	"tm4sf5"
"ENSDARG00000012827"	"mettl3"
"ENSDARG00000036394"	"pop7"
"ENSDARG00000055163"	"epo"
"ENSDARG00000061610"	"ufsp1"
"ENSDARG00000073844"	"ENDOD1
"ENSDARG00000061611"	"ENDOD1
"ENSDARG00000077329"	"nlgn2a"
"ENSDARG00000038901"	"tmem256"
"ENSDARG00000087162"	"TMEM102"
"ENSDARG00000069662"	"fgf11a"
"ENSDARG00000084691"	"5S_rRNA"
"ENSDARG00000069660"	"chrnb1"
"ENSDARG00000022532"	"chrnb1l"
"ENSDARG00000036376"	"cldn7a"
"ENSDARG00000055046"	"ponzr5"
"ENSDARG00000088589"	"ponzr3"
"ENSDARG00000087440"	"ponzr4"
"ENSDARG00000032862"	"ugt5g1"
"ENSDARG00000090052"	"BX470211.1"
"ENSDARG00000016260"	"fxr2"
"ENSDARG00000036382"	"ponzr6"
"ENSDARG00000091111"	"TIFA"
"ENSDARG00000022129"	"rbm4.3"
"ENSDARG00000055080"	"rbm4.2"
"ENSDARG00000036386"	"rbm4.1"
"ENSDARG00000008188"	"sf1"
"ENSDARG00000013317"	"pygmb"
"ENSDARG00000022466"	"clcn5"
"ENSDARG00000004196"	"tnfsf10l"
"ENSDARG00000085616"	"5S_rRNA"
