"ENSMUSG00000070939.2"	"Tgfbrap1"
"ENSMUSG00000041878.3"	"8430432A02Rik"
"ENSMUSG00000010290.7"	"AI597479"
"ENSMUSG00000008136.8"	"Fhl2"
"ENSMUSG00000067579.6"	"Gm8210"
"ENSMUSG00000066877.5"	"Nck2"
"ENSMUSG00000026051.8"	"1500015O10Rik"
"ENSMUSG00000057363.6"	"Uxs1"
"ENSMUSG00000090243.1"	"Gm16103"
"ENSMUSG00000088848.1"	"SNORA17"
"ENSMUSG00000077132.1"	"AC125134.1"
"ENSMUSG00000041763.7"	"Tpp2"
"ENSMUSG00000047343.4"	"A530098C11Rik"
"ENSMUSG00000090106.1"	"Gm15838"
"ENSMUSG00000091844.1"	"Gm8251"
"ENSMUSG00000026049.5"	"1700029F09Rik"
"ENSMUSG00000026047.7"	"Kdelc1"
"ENSMUSG00000041684.5"	"Bivm"
"ENSMUSG00000026048.9"	"Ercc5"
"ENSMUSG00000046828.3"	"4832428D23Rik"
"ENSMUSG00000089703.1"	"Gm15833"
"ENSMUSG00000078019.1"	"AC124406.1"
"ENSMUSG00000056870.3"	"Gulp1"
"ENSMUSG00000089877.1"	"Gm16102"
"ENSMUSG00000026043.11"	"Col3a1"
"ENSMUSG00000026042.9"	"Col5a2"
"ENSMUSG00000065010.1"	"U6"
"ENSMUSG00000065255.1"	"SNORA55"
"ENSMUSG00000087764.1"	"RNaseP_nuc"
"ENSMUSG00000025995.9"	"Wdr75"
"ENSMUSG00000084817.2"	"Gm5526"
"ENSMUSG00000091090.1"	"Gm5269"
"ENSMUSG00000025993.4"	"Slc40a1"
"ENSMUSG00000070896.1"	"Rpl23a-ps1"
"ENSMUSG00000090682.1"	"Gm3852"
"ENSMUSG00000044457.2"	"Gm4776"
"ENSMUSG00000041144.8"	"Dnahc7b"
"ENSMUSG00000070199.1"	"n-R5s211"
"ENSMUSG00000078595.2"	"Dnahc7c"
"ENSMUSG00000025986.5"	"Slc39a10"
"ENSMUSG00000081185.1"	"Gm4852"
"ENSMUSG00000080510.1"	"AC134426.1"
"ENSMUSG00000088017.1"	"7SK"
"ENSMUSG00000064943.1"	"U1"
"ENSMUSG00000092790.1"	"AC122246.1"
"ENSMUSG00000051616.8"	"C230029F24Rik"
"ENSMUSG00000084531.1"	"7SK"
"ENSMUSG00000026109.7"	"Tmeff2"
"ENSMUSG00000092906.1"	"AC098743.1"
"ENSMUSG00000045954.6"	"Sdpr"
"ENSMUSG00000026107.5"	"Obfc2a"
"ENSMUSG00000018417.8"	"Myo1b"
"ENSMUSG00000072324.3"	"Gm8420"
"ENSMUSG00000062939.5"	"Stat4"
"ENSMUSG00000078291.1"	"Gm3940"
"ENSMUSG00000026104.7"	"Stat1"
"ENSMUSG00000026103.8"	"Gls"
"ENSMUSG00000065192.1"	"U6"
"ENSMUSG00000002881.8"	"Nab1"
"ENSMUSG00000043015.8"	"Tmem194b"
"ENSMUSG00000041439.8"	"Mfsd6"
"ENSMUSG00000026102.2"	"Inpp1"
"ENSMUSG00000041426.6"	"Hibch"
"ENSMUSG00000089802.1"	"Gm16107"
"ENSMUSG00000043629.6"	"1700019D03Rik"
"ENSMUSG00000026100.5"	"Mstn"
"ENSMUSG00000089334.1"	"SNORA17"
"ENSMUSG00000060715.3"	"1700019A02Rik"
"ENSMUSG00000026098.7"	"Pms1"
"ENSMUSG00000026097.3"	"Ormdl1"
"ENSMUSG00000026096.7"	"Osgepl1"
"ENSMUSG00000026095.6"	"Asnsd1"
"ENSMUSG00000092657.1"	"AC122925.1"
"ENSMUSG00000067440.1"	"Dnahc7a"
"ENSMUSG00000026094.8"	"Stk17b"
"ENSMUSG00000042807.9"	"Hecw2"
"ENSMUSG00000087949.1"	"U1"
"ENSMUSG00000064498.1"	"U6"
"ENSMUSG00000025983.5"	"Ccdc150"
"ENSMUSG00000041303.6"	"Gtf3c3"
"ENSMUSG00000073678.2"	"Pgap1"
"ENSMUSG00000070889.4"	"Pgap1"
"ENSMUSG00000052331.7"	"Ankrd44"
"ENSMUSG00000089245.1"	"AC151572.1"
"ENSMUSG00000025982.7"	"Sf3b1"
"ENSMUSG00000025981.7"	"Coq10b"
"ENSMUSG00000025980.8"	"Hspd1"
"ENSMUSG00000073676.4"	"Hspe1"
"ENSMUSG00000089670.1"	"Gm16581"
"ENSMUSG00000025979.7"	"Mob4"
"ENSMUSG00000061863.5"	"Gm6822"
"ENSMUSG00000025978.8"	"Rftn2"
"ENSMUSG00000073675.3"	"Gm10561"
"ENSMUSG00000046994.8"	"Mars2"
"ENSMUSG00000025977.9"	"Boll"
"ENSMUSG00000089944.2"	"Gm8292"
"ENSMUSG00000038349.8"	"Plcl1"
"ENSMUSG00000073674.3"	"Gm6644"
"ENSMUSG00000045336.4"	"Hsfy2"
"ENSMUSG00000038331.8"	"Satb2"
"ENSMUSG00000087022.1"	"9130024F11Rik"
"ENSMUSG00000093027.1"	"AC101777.1"
"ENSMUSG00000084958.1"	"4930558J18Rik"
"ENSMUSG00000038323.2"	"1700066M21Rik"
"ENSMUSG00000048495.9"	"1110034B05Rik"
"ENSMUSG00000025971.5"	"9430016H08Rik"
"ENSMUSG00000077776.1"	"SNORA17"
"ENSMUSG00000088353.1"	"U1"
"ENSMUSG00000038305.7"	"Spats2l"
"ENSMUSG00000089176.1"	"snoU13"
"ENSMUSG00000091283.1"	"Gm17234"
"ENSMUSG00000054770.9"	"Kctd18"
"ENSMUSG00000026039.8"	"Sgol2"
"ENSMUSG00000063558.4"	"Aox1"
"ENSMUSG00000064294.6"	"Aox3"
"ENSMUSG00000089275.1"	"SNORA17"
"ENSMUSG00000038242.6"	"Aox4"
"ENSMUSG00000089822.1"	"Gm15759"
"ENSMUSG00000079554.1"	"Aox3l1"
"ENSMUSG00000051223.8"	"Bzw1"
"ENSMUSG00000026034.10"	"Clk1"
